"AddUserOneByOne";"New users will receive an e-mail with their user name and password"
"Hereyoucanmodifythecontentofthetextzonesdisplayedontheplatformhomepage";"Here you can modify the content of the text zones displayed on the platform home page."
"NoContent";"No Content"
"_EditFile_ModifyOk";"The changes have been carried out correctly"
"CreateCourses";"Create courses"
"RemoveAdminLevel";"No longer Admin"
"ListAllUsers";"List All Users"
"SetAdmin";"Set Admin"
"SelectAUser";"Choose user"
"AddLoginPassForThisUser";"Add login pass from campus account of this user in .htpassword"
"OtherWorks";"other functions"
"_no_access_here";"No way"
"ListHtUsers";"View .htpassword"
"ListAdmin";"List of admin users"
"GiveAdminRight";"Set a user as admin"
"Manage";"Manage Campus"
"NomPageAddHtPass";"Admin users management"
"DetailView";"View by"
"DevTools";"Devel Tools"
"DiskUsage";"Disk Usage"
"LaunchRestoreCourseRepository";"Launch restore of the course repository"
"RestoreCourseRepository";"Restore course repository"
"EnrolmentAllowedOnly";"Enrollment allowed only"
"EnrolmentDeniedOnly";"Enrollment denied only"
