"AddClass";"Subscribe a class"
"ErrorAssetNotFound";"Asset not found : "
"ErrorAssetNotFound";"Asset not found : "
"ErrorDepartmentURLWrong";"Department URL is invalid"
"ErrorFileMustBeZip";"File must be a zip file (.zip)"
"ErrorFormatCSV";"ERROR: The format you gave is not compatible with Claroline"
"ErrorMyOwnSettings";"You can not change your own status"
"ErrorNameAlreadyExists";"Error : Name already exists in the learning path or in the module pool"
"ErrorNoModuleInPackage";"No module in package"
"ErrorNoZlibExtension";"Zlib php extension is required to use this tool. Please contact your platform administrator."
"ErrorOpeningManifest";"Cannot find <i>manifest</i> file in the package.<br /> File not found : imsmanifest.xml"
"ErrorOpeningXMLFile";"Cannot find secondary initialisation file in the package.<br /> File not found : "
"ErrorReadingManifest";"Error reading <i>manifest</i> file"
"ErrorReadingXMLFile";"Error reading a secondary initialisation file : "
"ErrorReadingZipFile";"Error reading zip file."
"ErrorSql";"Error in SQL statement"
"ErrortExtractingManifest";"Cannot extract manifest from zip file (corrupted file ? )."
"Ex";"e.g. <em>History of Literature</em>"
"ExerciseAsModule";"Use an exercise"
"ExternalToolName";"Name link"
"ExternalToolUrl";"URL link"
"_fields_enclosed_by";"Fields enclosed by"
"FieldSeparatorUsed";"Fields separator used"
"FileError";"The file to upload is not valid."
"FileForCSVUpload";"CSV file with the user list : "
"FillTheAreaToExplainTheMotivations";"Fill the area to explain your motivation and submit your request. An e-mail will be sent to platform adminisrator(s)."
"_footer_p_CourseManager";"Manager(s) for %s"
"ForumCreated";"Forum created"
"ForumDeleted";"Forum deleted"
"ForumEmptied";"Forum emptied"
"ForumUpdated";"Forum updated"
"GlobalProgress";"Learning path progression : "
"Go2accountCreationPage";"Go to the account creation page"
"GroupChatLink";"Chat of the group"
"GroupDocumentsLink";"Documents of the group"
"GroupSpace";"Group area"
"GroupTutor";"Group Tutor"
"GroupUserManagement";"Group management"
"GroupWikiLink";"Wiki of the group"
"HasBeenEnrolled";"has been enroled"
"Home";"Back to Home page"
"_if_you_choose_to_continue_lines_with_errors_will_be_simply_ignored";"if you choose to continue, lines with errors will simply be ignored"
"_if_you_wish_to_enroll_to_this_course";"If you wish to enrol on this course"
"importLearningPath";"Import a learning path"
"ImpossibleToPromote";"Impossible to promote group tutor a student already register to group"
"indextitle";"Forum index"
"Installed";"Learning path has been successfully imported."
"IntroEditToolList";"Course Tools Edit Introduction"
"JustCreated";"You have just created the course website"
"LabelCanBeEmpty";"Course title needed"
"LastMsg";"Last message"
"LearningPathList";"Learning path list"
"LearningPathList";"Learning path list"
"LearningPathList";"Learning path list"
"LearningPathList";"Learning path list"
"LegendRequiredFields";"<span class=\"required\">*</span> denotes required field"
"Line";"line"
"LineNumber";"Line Number"
"Lines";"lines"
"ListCourseUsers";"Course users list"
"LoadDefaultFormat";"Load default format"
"LoginRequest";"Login request"
"LostPassword";"Lost password"
"MaxFileSize";"Max file size : "
"MaxSizeCourseCode';"max. 12 characters, e.g. <em>ROM2121</em>"
"MessageEnrollToCourseNotAllowed";"Enrol to course not allowed"
"MessageRegistrationNotAllowed";"Registration not allowed on the platform"
"MissingFields";"Missing field(s)"
"MissingValue";"Missing value"
"ModifDone";"The information has been modified"
"ModifyFormat";"Modify the format"
"ModuleMoved";"Module moved"
"ModuleOfMyCourse";"Use a module of this course"
"ModulesPoolToolName";"Pool of modules"
"ModuleStillInPool";"Modules of this path will still be available in the pool of modules"
"MoveDown";"Move down"
"MoveUp";"Move up"
"MustSelectAFile";"You must select a file"
"MustSelectATxtFile";"You must select a text file"
"MyGroup";"My group"
"_my_personnal_course_list";"My personal course list"
"MyStats";"View my statistics"
"NewChat";"New chat"
"NewLabel";"Create a new label / title in this learning path"
"NewLegend";"denotes new items"
"NewTopic";"New topic"
"_no_course_available_fitting_this_keyword";"No course available fitting this keyword"
"_no_error_in_file_found";"No error in file found."
"NoForum";"No forum"
"NoLearningPath";"No learning path"
"NoModule";"No module"
"NoModule";"No module"
"NoPostAllowed";"No new post allowed"
"NoPost";"No post"
"NoResult";"No result"
"NoSpace";"The upload has failed. There is not enough space in your directory"
"NoSpace";"The upload has failed. There is not enough space in your directory"
"NotGroupMember";"You are not a member of this groups"
"notify";"Notify by email when replies are posted"
"notifysubj";"A reply to your topic has been posted"
"NotInstalled";"An error occured.  Learning Path import failed."
"notopics";"There are no topics for this forum. You can post one"
"NotSaved";"Unable to save"
"NoUserFound";"No user found"
"NowGoChooseYourCourses";"You can now select, in the list, the courses you want to access."
"NowGoCreateYourCourse";"You can now create your  course"
"OkChapterHeadAdded";"Title added : "
"OkDefaultCommentUsed";"warning : Installation cannot find the description of the learning path and has set a default comment.  You should change it"
"OkDefaultTitleUsed";"warning : Installation cannot find the name of the learning path and has set a default name.  You should change it."
"OkFileReceived";"File received : "
"OkManifestFound";"Manifest found in zip file : "
"OkManifestRead";"Manifest read."
"OkModuleAdded";"Module added : "
"OneByOne";"Add user manually"
"OneMyGroups";"My supervision"
"_or_search_from_keyword";"Search from keyword"
"_or_search_from_keyword";"Search from keyword"
"PasswordHasBeenEmailed";"Your password has been emailed to "
"PathsInCourseProg";"Course progression"
"_p_d_StudentUnregistredFormCours";"%d student(s) unregistered from this course"
"PlatformAdministrator";"Platform Administrator"
"posted","Posted"
"poster";"Author"
"PostReply";"Post reply"
"posts";"Posts"
"PreviousLevel";"previous level"
"PrivateAccess";"Private access (site accessible only to people on the <a href=../user/user.php>User list</a>)"
"Professors";"Lecturer(s)"
"ProfileReg";"Your new profile has been saved"
"PublicAccess";"Public access from campus home page even without login"
"_remove_course_from_your_personnal_course_list";"Remove course from your personal course list"
"RequestOfCourseCreatorStatus";"Request course creation status"
"ResetChat";"Reset"
"ScormIntroTextForDummies";"Imported packages must consist of a zip file and be SCORM 1.2 conformable"
"SearchOn";"Search on"
"SearchResult";"Search result"
"_select_course_in_search_results";"Select course in search results"
"_select_course_in";"Select course in "
"SpecifyFormat";"You must specify the CSV format used in your file"
"StoreChat";"Store Chat"
"stored";"Your message has been entered"
"subject";"Subject"
"SubscribeToCourse";"Subscribe to course"
"Subscription";"Enrolment"
"TargetFac";"This is the faculty, department or school where the course is delivered"
"TheFields";"The fields"
"_the_following_errors_were_found";"The following errors were found "
"_TheUserIsAlreadyEnrolledInTheCourse";"The user is already enroled in this course"
"topicreview";"Topic review"
"topics";"Topics"
"TrackAllPath";"Learning paths tracking"
"UnableAddExternalTool";"Unable to add external tool"
"UnableChangedTool";"Unable to change tool access"
"UnableCreateCategory";"Unable to create category"
"UnableCreateForum";"Unable to create forum"
"UnableDeleteCategory";"Unable to delete category"
"UnableDeleteExternalTool";"Unable to delete external tool"
"UnableDeleteForum";"Unable to delete Forum"
"UnableDeleteGroupCategoryForum";"Group forums category can't be deleted"
"UnableToEmptyForum";"Unable to empty forum"
"UnableToEnrollInCourse";"Unable to enrol you to the course"
"UnableToRemoveCourseRegistration";"Unable to remove your registration to the course"
"UnableToUpdateCategory";"Unable to update category"
"UnableToUpdateForum";"Unable to update forum"
"UnableUpdateExternalTool";"Unable to update external tool"
"UnamedModule";"Unamed module"
"UnamedPath";"Unamed path"
"UnregisterAllStudents";"Unregister all students"
"Unreg";"Unregister"
"_unsubscribe";"Unsubscribe"
"UpdatedExternalTool";"External tool updated"
"UseFormatDefined";"Use format defined in first line of file"
"_user_has_been_enrolled_to_the_course";"The user has been enroled to the course"
"UserName";"User name"
"UserNotUnsubscribedFromCourse";"Error!! you cannot unregister a course manager"
"UserNumber";"number"
"UserOneByOneExplanation";"He or she will receive email confirmation with login and password"
"UserRegisteredToCourse";"User registered to the course"
"UserUnsubscribedFromCourse";"The user has been successfully unregistered from course"
"Valvas";"Latest announcements"
"WrongOperation";"Wrong operation"
"_you_have_been_enrolled_to_the_course";"You've been enroled on the course"
"YourAccountParam";"This is your account Login-Pass"
"_your_enrollment_to_the_course_has_been_removed";"Your enrolment on the course has been removed"
"YourRequestToBeCourseManagerIsSent";"Your request to become a course creator has been sent to platform administrator(s)."
"YourRequestToRemoveYourAccountIsSent";"Your request to remove your account has been sent"
"_your_user_profile_doesnt_seem_to_be_enrolled_to_this_course";"Your user profile doesn't seem to be enrolled on this course"
"ZipNoPhp";"The zip file can not contain .PHP files"
"StatsOfUser";"Statistics of user"
"ListStudents";"List of students in this group"
"UserName";"Username"
"Name";"Last name"
"FirstName";"First name"
"NoEmail";"No email address specified"
"ShowAll";"Show all"
"ShowNone";"Show none"
"LoginsAndAccessTools";"Logins and access to tools"
"LoginsDetails";"Click on the month name for more details"
"LoginsTitleMonthColumn";"Month"
"LoginsTitleCountColumn";"Number of logins"
"NoResult";"No result"
"ExercisesResults";"Results of the exercises done"
"ExercisesDetails";"Scores of exercises done"
"ExercisesTitleExerciseColumn";"Exercise"
"ScoreMin";"Worst score"
"ScoreMax";"Best score"
"ScoreAvg";"Average score"
"ExeAvgTime";"Average Time"
"LastAttempt";"Last attempt"
"ExeTime";"Time"
"LearnPathDetails";"Progress in learning paths"
"NoLearningPath";"No learning path"
"WorkUploads";"Work uploads"
"WorksDetails";"Work uploaded by the student in the name of 'Authors'"
"WorkTitle";"Work title"
"WorkAuthors";"Authors"
"DocumentsAccess";"Documents"
"DocumentsDetails";"Documents downloaded by the student"
"DocumentsTitleDocumentColumn";"Document"
"TrackForumUsage";"Forum usage"
"TrackTotalPosts";"Messages posted"
"TrackTotalTopics";"Topics started"
"LastMsg";"Last message"
"LastMsgs";"Last messages"
"topic";"Topic"
"ErrorUserNotInGroup";"Invalid user : this user doesn't exist in your group"
"TrackingDisabled";"Tracking has been disabled by system administrator."
"TrackNotEnoughAttempts";"You must reach the maximum number of allowed attempts to view these statistics."
"CannotSeeExerciseDetails";"Display of detailled answers is not authorized."
"StatsOfExerciseAttempt";"Statistics of exercise attempt"
"ExpectedChoice";"Expected choice"
"ElementList";"Element list"
"CorrespondsTo";"Corresponds to"
"NoTrackingForExerciseAttempt";""
"TrackExerciseError";"Details may be incorrect as it seems that some questions have change between this attempt and now."
"UserAccessDetails";"User access details"
"WrongOperation";"Wrong operation"
"LastAccess";"Last access"
"NbrAccess";"Access count"
"AnonymousUserAccessCount";"Anonymous users access count : "
"ToDate";"to"
"PeriodDay";"Day"
"PeriodWeek";"Week"
"PeriodMonth";"Month"
"PreviousMonth";"Previous month"
"NextMonth";"Next month"
"PreviousWeek";"Previous week"
"NextWeek";"Next week"
"PreviousDay";"Previous day"
"NextDay";"Next day"
"ViewToolList";"View list of all tools"
"StatsOfExercise";"Statistics of exercise"
"StatsOfQuestion";"Statistics of question"
"LearningPathList";"Learning path list"
"LastSessionTimeSpent";"Last session time"
"TotalTimeSpent";"Total time"
"LessonStatus";"Module status"
"NoModule";"No module"
"TimeInLearnPath";"Time in learning path"
"GlobalProgress";"Learning path progression : "
"TrackAllPath";"Learning paths tracking"
"TrackAllPathExplanation";"Progression of users on all learning paths"
"StatsOfLearnPath";"Learning paths tracking"
"Exercices";"Exercises"
"ExerciseUsersAttempts";"User attempts"
"ExerciseTotalAttempts";"Total attempts"
"ExportTrackingCsv";"Get tracking data in a CSV file"
"StatsByUser";"Statistics by user"
"StatsByQuestion";"Statistics by question"
"QuestionTitle";"Question title"
"QuestionDescription";"Statement"
"DelCourseStats";"Delete all course statistics"
"DelCourseStatsDone";"Course statistics deleted"
"ConfirmDeleteStats";"blockConfirmDeleteStats"
"CountUsers";"Number of users"
"NeverConnectedStudents";"Never connected students : "
"NotRecentlyConnectedStudents";"Not recently connected students : "
"CourseAccess";"Course access"
"CountToolAccess";"Total number of connection to this course"
"Thisday";"This day"
"TrafficDetails";"Traffic Details"
"ToolsAccess";"Access to tools"
"ToolTitleToolnameColumn";"Name of the tool"
"ToolTitleUsersColumn";"Users' Clicks"
"ToolTitleCountColumn";"Total Clicks"
"DocumentsTitleDocumentColumn";"Document"
"DocumentsTitleUsersColumn";"Users Downloads"
"DocumentsTitleCountColumn";"Total Downloads"
"ExercisesTitleExerciseColumn";"Exercise"
"MoreRepliedTopics";"More replied topics"
"TopicReplies";"Replies"
"MoreSeenTopics";"More seen topics"
"LastActiveTopics";"Last active topics"
"StatsOfCourse";"Statistics of course"
"PeriodToDisplay";"Period"
"PeriodYear";"Year"
"DetailView";"View by"
"PeriodHour";"Hour"
"PreviousYear";"Previous year"
"NextYear";"Next year"
"CampusRegistrationSubmitted";"Your campus has been submitted and is waiting to be validate by Claroline.net team"
"RegisterLocalUrl";"blockRegisterLocalUrl"
"CampusAlreadyRegistered";"It seems that you already have registered your campus."
"CountryCodeError";"Country code seems to be incorrect."
"UnkownSOAPError";"An error occurred while contacting Claroline.net"
"CurrentStatus";"Current registration status : "
"CampusSubmitted";"<strong>Submitted</strong><p>Waiting for validation by Claroline.net team.</p>"
"CampusRegistered";"<strong>Approved</strong><p>Your campus registration has been approved by the Claroline.net team.</p>"
"CampusRemoved";"<strong>Removed</strong><p>Your campus has been removed from the worldwide page.</p>"
"CampusDeleted";"<strong>Deleted</strong><p>Your campus registration has been desactivated, contact us (see our website) if you think this is an error.</p>"
"RegisterMyCampus";"Register my campus"
"AddMyCampusOnClarolineNet";"Add my campus on Claroline.net website"
"SiteName";"Campus name"
"RegisterCampusAdvice";"Please check that your campus URL is reachable from the internet."
"AssignmentDescription";"Description"
"SubmissionType";"Submission type"
"! This will also delete all works submitted in this assignment !";"This will also delete all works submitted in this assignment !"
"FileOnly";"File (file required, description text optional)"
"ChooseDateHelper";"(d/m/y hh:mm)"
"EndDate";"End date"
"GroupAssignment";"Groups (from groups tool, only group members can post)"
"IntroWork";"blockIntroWork"
"NotGroupMember";"You are not a member of this group"
"FileRequired";"A file is required"
"FeedbackHelp";"blockFeedbackHelp"
"FeedbackText";"Feedback text"
"EditWork";"Modify a work"
"SubmittedWork";"Work"
"WrkTitle";"Title"
"WrkAuthors";"Author(s)"
"WorkAuthors";"Author(s)"
"NoFile";"- none -"
"AttachFile";"Attach a file"
"MaxFileSize";"Max file size :"
"FileDesc";"File description"
"CourseAdministratorOnly";"Course administrator only"
"SubmissionDate";"First submission date"
"LateUpload";"Late upload"
"LastEditDate";"Last edit date"
"UniqueSelect";"Multiple choice (Unique answer)"
"MultipleSelect";"Multiple choice (Multiple answers)"
"FillBlanks";"Fill in blanks"
"TrueFalse";"True/False"
"QuestionNotFound";"Question not found"
"QuestionManagement";"Question / Answer management"
"QuestionPool";"Question pool"
"ExerciseManagement";"Exercise management"
"GiveAnswers";"Please give the answers to the question"
"ChooseGoodAnswer";"Please choose a good answer"
"ChooseGoodAnswers";"Please choose one or more good answers"
"GiveText";"Please type the text"
"DefineBlanks";"Please define at least one blank with brackets [...]"
"FillLists";"Please fill the two lists below"
"QuestionWeighting";"Weighting"
"LessAnswers";"Rem. answ."
"MoreAnswers";"Add answ."
"TypeTextBelow";"Please type your text below"
"UseTagForBlank";"use brackets [...] to define one or more blanks"
"DefaultTextInBlanks";"[British people] live in [United Kingdom]."
"FillType";"Fill type"
"FillTextField";"Fill text field"
"FillSelectBox";"Select in drop down list"
"AddWrongAnswers";"Add wrong answers for drop down lists <small>(Optionnal. One wrong answer by line.)</small>"
"WeightingForEachBlank";"Please give a weighting to each blank"
"MakeCorrespond";"Make correspond"
"DefaultMatchingProp1";"Your daddy is"
"DefaultMatchingProp2";"Your mother is"
"LessElements";"Rem. elem."
"MoreElements";"Add elem."
"DefineOptions";"Please define the options"
"DefaultMatchingOpt1";"rich"
"DefaultMatchingOpt2";"good looking"
"ExerciseNotFound";"Exercice not found"
"CurrentTime";"Current time"
"MaxAllowedTime";"Time limit"
"NoTimeLimit";"No time limitation"
"NoMoreAttemptsAvailable";"You have reached the maximum number of allowed attempts."
"ExerciseNotAvailable";"Exercise not available"
"ExerciseNoMoreAvailable";"Exercise no longer available"
"ModifyExercise";"Modify exercise"
"AlreadyAnswered";"You have already answered the question"
"MyResults";"My results"
"NewEx";"New exercise"
"ExerciseName";"Exercise name"
"NoEx";"There is no exercise for the moment"
"UsedInSeveralPath";"blockUsedInSeveralPath"
"ConfirmDeleteExercise";"Are you sure you want to delete this exercise ?"
"GiveExerciseName";"Please give the exercise name"
"ExerciseDescription";"Exercise description"
"ExerciseType";"Exercise type"
"SimpleExercise";"On an unique page"
"SequentialExercise";"One question per page (sequential)"
"RandomQuestions";"Random questions"
"AllowedTime";"Time limit"
"MinuteShort";"min."
"SecondShort";"sec."
"AttemptsAllowed";"Attempts allowed"
"AttemptAllowed";"attempt allowed"
"ElementList";"Element list"
"CorrespondsTo";"Corresponds to"
"YourTotalScore";"Your total score is"
"TimeOver";"Time is over, results not submitted."
"UsedInSeveralExercises";"Warning ! This question and its answers are used in several exercises. Would you like to modify them"
"ModifyInAllExercises";"in all exercises"
"ModifyInThisExercise";"only in the current exercise"
"GoBackToQuestionList";"Go back to the question list"
"GoBackToQuestionPool";"Go back to the question pool"
"EditQuestion";"Edit question"
"NoAnswer";"There is no answer for the moment"
"EditAnswers";"Edit answers"
"NewQu";"New question"
"GetExistingQuestion";"Get a question from another exercise"
"QuestionList";"Question list of the exercise"
"MoveUp";"Move up"
"MoveDown";"Move down"
"NoQuestion";"There is no question for the moment"
"AllExercises";"All exercises"
"OrphanQuestions";"Orphan questions"
"GoBackToEx";"Go back to the exercise"
"ConfirmDeleteQuestion";""
"GiveQuestion";"Please give the question"
"ReplaceAttachedFile";"Replace attached file"
"DeleteAttachedFile";"Delete attached file"
"AnswerType";"Answer type"
"HClar";"Claroline help"
"CloseWindow";"Close window"
"ClarContent";"blockClaroMainHelp"
"HDoc";"Documents help"
"DocContent";"blockDocumentsHelp"
"HExercise";"Exercises help"
"ExerciseContent";"blockExercisesHelp"
"HFor";"Forums help"
"ForContent";"blockForumsHelp"
"HelpGroups";"Groups help"
"GroupContent";"blockGroupsHelp"
"HHome";"Home page help"
"HomeContent";"blockHomepageHelp"
"HUser";"Users help"
"UserContent";"blockUsersHelp"
"HelpAssignment";"Assignments help"
"HelpAssignmentContent";"blockAssignmentsHelp"
"DocumentInModule";"Document in module"
"FileName";"Filename"
"RawHasBeenChanged";"Minimum raw to pass has been changed"
"ChangeRaw";"Change minimum raw mark to pass this module (percentage) : "
"ExerciseInModule";"Exercise in module"
"LearningPathNotFound";"Learning Path not found"
"LearningPathEmpty";"Learning Path is empty"
"ErrorLoadingExercise";"Unable to load the exercise"
"ErrorLoadingQuestion";"Unable to load exercise's question"
"ErrorCopyAttachedFile";"Unable to copy file : "
"ErrorCreatingFile";"Unable to create file : "
"ErrorCreatingDirectory";"Unable to create directory : "
"ErrorCopyScormFiles";"Error when copying needed SCORM files"
"ErrorCopyingScorm";"Error copying existing SCORM content"
"ErrorCreatingFrame";"Unable to create frame file"
"ErrorCreatingManifest";"Unable to create the SCORM manifest (imsmanifest.xml)"
"ErrorCreatingScormArchive";"Unable to create the SCORM archive"
"ExerciseCancelled";"Exercise cancelled, choose a module in the list to continue."
"ExerciseDone";"Exercise done, choose a module in the list to continue."
"BrowserCannotSeeFrames";"Your browser cannot see frames."
"FullScreen";"Fullscreen"
"InFrames";"In frames"
"QuitViewer";"Back to list"
"LearningPathAdmin";"Learning path admin"
"ZipNoPhp";"The zip file can not contain .PHP files"
"InsertMyDocToolName";"Insert a document as module"
"DefaultModuleComment";"blockDefaultModuleComment"
"DefaultModuleAddedComment";"blockDefaultModuleAddedComment"
"DocInsertedAsModule";"%moduleName has been added as module"
"DocumentAlreadyUsed";"%moduleName is already used as a module in this learning path"
"PathContentTitle";"Learning path content"
"BackToLPAdmin";"Back to learning path administration"
"InsertMyExerciseToolName";"Insert my exercise"
"ExInsertedAsModule";"%moduleName has been added as module"
"ExAlreadyUsed";"%moduleName is already used as a module in this learning path"
"InsertMyModuleToolName";"Insert my module"
"InsertMyModulesTitle";"Insert a module of the course"
"AddModule";"Add"
"NoMoreModuleToAdd";"All modules of this course are already used in this learning path."
"AlertBlockingMakedInvisible";"blockConfirmBlockingModuleMadeInvisible"
"Are you sure to delete";"Are you sure to delete ?"
"AreYouSureToDeleteScorm";"blockConfirmDeleteScorm"
"CreateNewLearningPath";"Create a new learning path"
"LearningPathName";"New learning path name : "
"AlertBlockingPathMadeInvisible";"blockConfirmBlockingPathMadeInvisible"
"BackModule";"Back to list"
"SCORMTypeDesc";"SCORM 1.2 conformable content"
"EXERCISETypeDesc";"Exercise"
"DOCUMENTTypeDesc";"Document"
"ProgInModuleTitle";"Your progression in this module"
"InfoProgNameTitle";"Information"
"PersoValue";"Values"
"TypeOfModule";"Module type"
"YourBestScore";"Your best performance"
"NeverBrowsed";"Never browsed"
"StartModule";"Start Module"
"NoStartAsset";"There is no start asset defined for this module."
"AreYouSureDeleteModule";"blockConfirmDeleteModule"
"ModulesPoolToolName";"Pool of modules"
"UseOfPool";"blockModulePoolHelp"
"InsertNewModuleName";"Insert new name"
"ErrorNameAlreadyExists";"Error : Name already exists in the learning path or in the module pool"
"ErrorEmptyName";"Name cannot be empty"
"UsedInLearningPaths";"Number of learning paths using this module : "
"GroupsAdded";"group(s) has (have) been added"
"NewGroupCreate";"Create new group(s)"
"NewGroups";"new group(s)"
"Max";"Max."
"GroupsDeleted";"All groups have been deleted"
"NoGroupsDeleted";"No group deleted"
"Places";"seats by groups (optional)"
"GroupDel";"Group deleted"
"NoGroupsDeleted";"No group deleted"
"GroupsEmptied";"All groups are now empty"
"GroupsNotEmptied";"Unable to empty groups"
"GroupFilledGroups";"Groups have been filled (or completed) by students present in the 'Users' list."
"GroupPropertiesModified";"Group settings have been modified"
"DeleteGroups";"Delete all groups"
"FillGroups";"Fill groups (automatically)"
"EmtpyGroups";"Empty all groups"
"MainGroupSettings";"Main Group Settings"
"ConfirmEmptyGroups";"Are you sure you want to empty all groups ?"
"ConfirmDeleteGroups";"Are you sure you want to delete all groups ?"
"ConfirmDeleteThisGroup";"Are you sure to delete this group ?"
"FillGroups";"Fill groups (automatically)"
"ExistingGroups";"Groups"
"GroupSelfRegistration";"Registration"
"OneMyGroups";"my supervision"
"MyGroup";"my group"
"GroupSelfRegInf";"register"
"GroupSettingsModified";"Group settings modified"
"GroupNoTutor";"(none)"
"GroupName";"Group name"
"GroupThisSpace";"Area for this group"
"Uncompulsory";"(optional)"
"GroupTutor";"Group Tutor"
"ListUsers";"User list"
"GroupMembers";"Group members"
"GroupLimit";"Limit"
"GroupSelfRegistration";"Registration"
"GroupAllowStudentRegistration";"Students are allowed to self-register in groups"
"QtyOfUserCanSubscribe_PartBeforeNumber";"A user can be a member of maximum "
"QtyOfUserCanSubscribe_PartAfterNumber";"&nbsp;groups"
"GroupTools";"Tools"
"GroupForum";"Forum"
"GroupDocuments";"Documents"
"GroupNowMember";"You are now a member of this group."
"RegIntoGroup";"Add me to this group"
"EditGroup";"Edit this group"
"GroupDescription";"Description"
"CloseWindow";"Close window"
"WikiAccessControl";"Access control management";
"WikiAccessControlText";"You can set access rights for users using the following grid : ";
"WikiAllPages";"All pages";
"WikiBackToPage";"Back to page";
"WikiContentEmpty";"This page is empty, click on 'Edit this page' to add a content";
"WikiCourseMembers";"Course members";
"WikiCreateNewWiki";"Create a new Wiki";
"WikiCreatePrivilege";"Create Pages";
"WikiCreationSucceed";"Wiki creation succeed";
"WikiDefaultDescription";"Enter the description of your wiki here";
"WikiDefaultTitle";"New Wiki";
"WikiDeleteWiki";"Delete Wiki";
"WikiDeleteWikiWarning";"WARNING : you are going to delete this wiki and all its pages. Are you sure to want to continue ?";
"WikiDeletionSucceed";"Wiki deletion succeed";
"WikiDescription";"Description of the Wiki";
"WikiDescriptionForm";"Wiki description";
"WikiDescriptionFormText";"You can choose a title an a description for the wiki : ";
"WikiDiffAddedLine";"Added line";
"WikiDiffDeletedLine";"Deleted line";
"WikiDiffMovedLine";"Moved line";
"WikiDiffUnchangedLine";"Unchanged line";
"WikiDifferenceKeys";"Keys :";
"WikiDifferencePattern";"differences between version of %1\$s modified by %2\$s and version of %3\$s modified by %4\$s";
"WikiDifferenceTitle";"Differences :";
"WikiEditConflict";"Edit conflict";
"WikiEditLastVersion";"Edit last version";
"WikiEditPage";"Edit this page";
"WikiEditPrivilege";"Edit Pages";
"WikiEditProperties";"Edit properties";
"WikiEditionSucceed";"Wiki edition succeed";
"WikiGroupMembers";"Group members";
"WikiHelpSyntax";"Wiki syntax";
"WikiIdenticalContent";"Identical content<br />no modification saved";
"WikiInvalidWikiId";"Invalid Wiki Id";
"WikiList";"List of Wiki";
"WikiMainPage";"Main page";
"WikiMainPageContent";"This is the main page of the Wiki %s. Click on '''Edit''' to modify the content.";
"WikiNoWiki";"No Wiki";
"WikiNotAllowedToCreate";"You are not allowed to create pages";
"WikiNotAllowedToEdit";"You are not allowed to edit this page";
"WikiNotAllowedToRead";"You are not allowed to read this page";
"WikiNumberOfPages";"Number of pages";
"WikiOtherUsers";"Others (*)";
